post_id,author_name,author_profile,timestamp,content,reactions,comments,shares,total_engagement,url,scrape_time
1084673940357808,IPL - Indian Premier League,https://www.facebook.com/IPL?__cft__[0]=AZXd4T3SFs3-mTjwLwEUufFJfSsPZ1byXJrrxbOAfd2gGATtMoThfMNOkPIvfgIy0caTaNDGUtUAKIai_b7eH1wxJf9NMWnl4iMfg64_hjx6fxJtBxB5qGpPcnV7mrsUuZ3LmjBKMJTmPn7dZEZstiGYa1EjXvTYeWlCcmVWSU44IC2a-kWCxFaPupXj1NVKHRPsNQrjq8AhoTrhrCfNY45TitseMbTQ-owN19pbV9rlA6iXTFcZNacVF--L3tnyow8&__tn__=-UC%2CP-R,,UpdateT…See more FacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookIPL - Indian Premier LeagueVerified account·FollowetsoSponrd9i6gu88u0gc9ltg758g93976g0hc788ihfmc22h10t1c82g0um·Shared with PublicUpdateT…See moreAauls.comTimeline photosUpdateThe toss has been delayed due to rain. Stay tuned for further updates. #TATAIPL | #RCBvKKRetsoSponrd9ergu88u0rn9ltg758g9M976g0hc7a8ihfmc2oe101c8Lg0umAll reactions:13K13K728 comments95 sharesLikeCommentShareFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebook,0,728,95,823,https://www.facebook.com/photo/?fbid=1084673940357808&set=a.639684988190041&__cft__[0]=AZXd4T3SFs3-mTjwLwEUufFJfSsPZ1byXJrrxbOAfd2gGATtMoThfMNOkPIvfgIy0caTaNDGUtUAKIai_b7eH1wxJf9NMWnl4iMfg64_hjx6fxJtBxB5qGpPcnV7mrsUuZ3LmjBKMJTmPn7dZEZstiGYa1EjXvTYeWlCcmVWSU44IC2a-kWCxFaPupXj1NVKHRPsNQrjq8AhoTrhrCfNY45TitseMbTQ-owN19pbV9rlA6iXTFcZNacVF--L3tnyow8&__tn__=EH-R,2025-05-17 22:02:11
994216129558555,CODEPINK:  Women For Peace,https://www.facebook.com/codepinkalert?__cft__[0]=AZVLAnSplvlxIT3K1woo5Nq9yhKsGwT8atyvxBUkqIp04T0-rdKlWOvdEHqYTtPuKhCiY_WKKGUWbjU7Zhq3VBXXhS7T_bRPnKXnEPwpRPjqMjS4gjC2D8xndY1tGKObEFdr9RhXq7-IL7tURnzAA4kdRD2VETeEuQAYBY8uSWtn4LhlpHenHV9uKg3jvVSkeg-IoqARZjd2LphEmo8dIrdKFUHE8ZnCYMOrVkAJXmTsllsQjzgjWMVDYM9KkbUVEfM&__tn__=-UC%2CP-y-R,,FacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookpoor people simping for capitalistsJessica Sttab·etsoSponrd9M4gM88u0Aa9ltgt58g11976hc78ihfm28y1051c8ag:um·Shared with Private group2h2A8L5.comAbrarpLpO1i6tzOkXJ7vq5vjEUIRwtINtHqiBOvHgGonTDfetsoSponrd9ergu88u0rn9ltg758g9M976g0hc7a8ihfmc2oe101c8Lg0umCODEPINK: Women For PeaceetsoSponrd9M4gM88u0Aa9ltgt58g13976hc78ihfm22y1021c8ag:um·Shared with PublicAll reactions:5757LikeCommentSendFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebook,57,0,0,57,https://www.facebook.com/photo/?fbid=994216129558555&set=a.293381772975331&__cft__[0]=AZVLAnSplvlxIT3K1woo5Nq9yhKsGwT8atyvxBUkqIp04T0-rdKlWOvdEHqYTtPuKhCiY_WKKGUWbjU7Zhq3VBXXhS7T_bRPnKXnEPwpRPjqMjS4gjC2D8xndY1tGKObEFdr9RhXq7-IL7tURnzAA4kdRD2VETeEuQAYBY8uSWtn4LhlpHenHV9uKg3jvVSkeg-IoqARZjd2LphEmo8dIrdKFUHE8ZnCYMOrVkAJXmTsllsQjzgjWMVDYM9KkbUVEfM&__tn__=EH-y-R,2025-05-17 22:02:28
